DEPARTAMENTO,HV271_Factor_de_puntuacion_del_indice_de_riqueza,m19_Peso_al_nacer_kg,HV040_Altitud_del_conglomerado_en_metros,HC1_Edad_en_meses,HC56_Nivel_de_hemoglobina_ajustado_por_altitud,HC63_Intervalo_de_nacimientos_anteriores_al_nino,M4_Duracion_de_la_lactancia,HV220_Edad_del_jefe_del_hogar,M46_Dias_que_tomo_hierro,M18_Tamano_al_nacer,m34_Horas_hasta_inicio_de_lactancia,M14_Numero_de_visitas_prenatales,HC62_Ano_mas_alto_de_educacion_de_la_madre,HC27_Sexo,HV012_Miembros_habituales_De_jure,SH49_Tipo_de_envase_o_recipiente,M13_Mes_de_gestacion_en_el_1er_control,HV234_Prueba_de_yodo_para_sal,SH42_Agua_Todo_El_Dia,HV240_Tiene_chimenea_o_campana,SH71_Numero_de_habitaciones_en_el_hogar,M55G_Liquidos_primeros_3_dias_Formula_para_bebes,SH76B_Ventanas_con_cristal,SH70_Fuente_Luz,HV014_Ninos_menores_de_5_anos,SH50_Lo_usa_con_tapa,SH63_Utiliza_otro_tipo_de_combustible_para_cocinar,HV216_Habitaciones_para_dormir,HV242_Cuarto_separado_para_cocinar,HV204_Tiempo_de_viaje_a_fuente,HV225_Comparte_servicio_higienico,HV237G_Agua_embotellada,HV025_Area_de_residencia,SH76D_Ventanas_con_malla,m15_Lugar_del_parto_agrupado,M17_Parto_por_cesarea,M54_Vitamina_A_primeros_2_meses_post_parto,SH76C_Ventanas_de_madera,M60_Tomo_antiparasitarios_en_el_embarazo,SH48_Conserva_Agua,HV237A_Tratamiento_de_agua_hervir,HV102_Residente_habitual,HV237_Tratamiento_del_agua
Ica,0.4268187170233018,0.27420121274022136,0.0,0.18677027282741457,0.7420239712729109,0.36942166482325334,0.7698792738048232,0.46815787496976763,0.6487394486365686,0.40362407158289504,0.40680078647352624,1.0,0.39974077065475155,0.6930283276868147,0.44295523317429353,0.2407590003860128,0.7496737773241775,0.5375118863858767,0.5639530721828819,0.2579990748658805,0.36980200927876167,0.752520844721572,0.38543675455202747,0.12981710824163908,0.08915713822946492,0.604595852945417,0.14743185979690962,0.508532561995187,0.4454429890125462,0.5733938001671449,0.2552897688131056,0.9676031668343985,0.2105202350186813,0.6473331503133797,0.6741972894029657,0.745478701692594,0.6803665554648771,0.7369058006175006,0.3841571333408642,0.8875705461957287,0.9426621326766117,0.20116211399893297,0.8004988728127558
Junin,0.4879306615003821,0.4197038116324649,0.280472556011988,0.6055778217828297,0.57500708927689,0.4975464690164338,0.43232818423717,0.5884861148230561,0.5278907382121941,0.0,0.25906286163396813,0.17063235563036833,0.4166211627647892,0.7155654691572545,0.339605670975754,0.0,0.3156014021232075,0.27622472892788436,0.27228589448442964,0.2104784813408979,1.0,0.4484953153362211,0.5824902534837125,0.8890336232110571,0.7096091754033845,0.45461785195178894,0.583718974683352,0.0,0.5639520622830982,0.5860305788940643,0.0,0.952094352101152,0.3264948052356279,0.4543241874293137,0.9492297617076249,0.28380108381442626,0.4290701512168295,1.0,0.5135136691035493,0.46308368970224284,1.0,0.7248383272445493,0.785039968235602
La Libertad,0.41667459214613,0.9380168587200561,0.08918946754328108,0.5842576681433985,0.4193850724874999,0.4036457180148731,0.3798306401864876,0.03580042311420889,0.06553962401995499,0.6558724595923854,0.5298087660549817,0.36453386198505894,0.6268761510157329,0.6806171381244812,0.8033675802504262,0.8614122267920881,0.6728823084404271,0.4549067635697667,0.2838562278247918,0.2979923783725153,0.35821944122737165,0.5370402186384158,0.42539567971822034,0.2637128879187156,0.6717054129427756,0.20863113848015974,0.8534776885157683,0.4853907738140787,0.5301529415934728,0.4997016129319349,0.09194000672107062,0.3101217619520307,0.2260539812779819,0.7329269450728269,0.7778604712615301,0.24473135953817032,0.5537047044879766,0.8676819787240969,0.6125445307308115,0.2835741079663763,0.5344062610213967,0.8677907163657057,0.8176933304225087
Lambayeque,0.25854663028167235,0.6997501485925477,0.474696912027066,0.9564184746148827,0.3279841220677162,0.21536386220080286,0.42711067687375087,0.0,0.6087946608908132,0.7955604939728865,0.7396128270507364,0.9282291688598258,0.6970035411117542,0.7292538542262921,0.601264973916365,0.28988187508760044,0.13090672553458202,0.48970693996535886,0.1686495525406089,0.3193128037878825,0.3404550328406706,0.21176863553027228,0.3779989712817179,0.4445093205801264,0.42475148208399316,0.1782146389138323,1.0,0.6713266977261105,0.40971470655055753,0.2692753572417124,0.12753794297026289,0.18383020549896456,0.3901587300191101,0.8763004211307259,0.47927723575349174,0.28756604654588364,0.6156834529215903,0.6362760304071512,0.3889188559615801,0.1837543678892488,0.5480798088502351,0.4397837687588008,0.5422035175145163
Lima,0.3873098459780049,0.3993590567395047,0.5639376179009998,0.8046238886241063,0.651460950685834,0.0,0.3766217150888792,0.18302720463732822,0.35392987666593617,0.45634170811670166,0.43610232002544524,0.6136661366050118,0.5675323516780262,1.0,0.5454653429195125,0.4614254910088255,0.3660417515229618,0.08572730549722078,0.22883079757367003,0.03851397793584441,0.0,0.4055882760031414,0.260295421462943,0.10157720894307268,0.22001681344381152,0.09853820219459314,0.6826907217042093,0.5464350506127944,0.507587398853766,0.059244736243557916,0.4168213698855747,0.1853660698330709,0.4008066916838778,0.5286700718772327,0.05961771493703206,0.7374223974495848,0.5272480209328994,0.25835303565914386,0.35599522513113846,0.22547637932883988,0.348833340303151,0.33315051804983786,0.5556558756082487
Loreto,0.7451814682231757,0.4975321798496749,0.6472139399458936,0.6162909298693793,0.6725963665582085,0.7298831158027119,0.23932312627191438,0.16604354364676033,0.34347236480256615,0.6669164975402083,0.08694759166836498,0.45593953146870814,0.6433314675637758,0.5106331600218804,0.39557119927342743,0.6038351623993433,0.2748874994017745,0.3962634524176833,0.0,0.7287258557178538,0.3931597833099459,0.3435600631133799,0.7686490964394682,1.0,0.43691457562633673,0.3470515128546368,0.7717851978324779,0.34946772457945185,0.3291263632043099,0.24458248267447025,0.4415208575580034,0.5325047121992513,0.7618179822467303,0.30767779227809117,0.9000100876900587,0.14522836776791026,0.4723100837116821,0.28740461527957223,0.755586538227632,0.3874272897155778,0.14298218305990165,0.3009062311341643,0.4673900103875332
Madre de Dios,1.0,0.11719175695827017,0.8548725601816957,0.7578124400972917,0.618848935569794,0.8357344633750284,0.0,0.31178373210140814,0.12158060325572194,0.07289319804276867,0.0,0.8338405802225825,0.9160254441998337,0.9308265250357932,0.31493254612438754,0.5197613871999403,0.014774713171138805,0.3246874815194508,0.12618229613615747,0.36283356015280355,0.11806630401186122,0.0,0.6831269529462278,0.7544955605418635,0.35485959146376633,1.0,0.9794591153816465,0.5635053686165127,0.019682052575363772,0.24149469499593318,0.10441420409357151,0.4097904011223471,1.0,0.4212689050954638,1.0,0.0,0.2899279925617476,0.3851627848221956,0.2579466910674828,0.2866312877133447,0.0,0.7335292952676661,0.0
Moquegua,0.26629475122233764,0.3338046649171164,0.7289846835842219,0.5206612267740841,0.7891234858383047,0.3920348525898842,0.45698169793908505,0.6465322883942227,0.0,0.6666908897178812,0.5186798771290226,0.5918429170918236,0.1524455636183558,0.9732136936093748,0.45822636249490395,0.2968669634784985,0.5348315222020523,0.34729183660664825,0.24852738246124353,0.425877750090213,0.04502068807804699,0.4978277846734445,0.14578475526858145,0.0,0.06598250928225546,0.3458446092943581,0.5523170165713359,0.5586008807935203,0.0,0.39520262286870506,0.3324935452011661,0.3794391132504707,0.46374781342187277,0.30025157936605407,0.0,0.8344407630436502,0.24868283581363712,0.14593379237477275,0.8965840194793302,0.1945154831649368,0.28623455769221584,0.4068222966038637,0.20228172626667296
Pasco,0.5867831549290995,0.2653452415473203,0.7514505354807991,0.016245763546046597,0.6552573503503331,0.5897395253672523,0.5262562583229321,0.35514459037327006,0.04920012288025515,0.33326165825380205,0.5488601243752012,0.3168829557112778,0.5626544889898328,0.569918643224558,0.5256026354166449,0.6351477380730389,0.46713868718196677,0.39531876087797296,0.3141853539211043,0.31872488875763627,0.313572102780187,0.48549739690292837,0.5928142250118701,0.21829223854852017,0.6708116137069902,0.521296308683239,0.5097532591262589,0.6716494043122894,0.2770477996930528,0.9764916381224638,0.4318870921200024,0.422838287023676,0.7027072538659,0.532775875227749,0.3854017856124484,0.28856756353316804,0.04191881241202813,0.34798692898684225,0.6659666738658973,0.0,0.206799261606025,0.288574595552175,0.03381324217675739
Piura,0.5372429709924946,0.3637276755797935,0.8516999823761288,0.11925708658345552,0.6324996536607884,0.716767715350195,0.5103614792802088,0.7609633881531352,0.1747523002223014,0.37688034223077077,0.5218488815014339,0.2874035448985673,0.9245275252886599,0.47891267156695677,0.42951347220298897,0.4675721459570782,0.0,0.21855162523751462,0.20710449175659204,0.16915962973094467,0.18622182625720218,0.44868828098416075,0.19431396466978987,0.17654279580605486,0.44798350276217785,0.10142445564416949,0.567326804122369,0.7377730706633219,0.24072533180004765,0.0,0.17628270500733817,0.2761511248856261,0.5766997487209502,0.12777415534151085,0.22032650966119163,0.3918610116536584,0.1665575882047765,0.0,0.6828919864865252,0.19354898036029913,0.17499225980302058,0.4070400396968174,0.042978783028868976
Puno,0.3324944676821682,0.7189740406318916,1.0,0.4739931174650091,0.49564453544213016,0.6056204019960597,0.43854484083070977,0.06654665255090622,0.5974116759485462,0.2538341683409839,0.6657666055968828,0.8981474834764,0.518290247396951,0.9702248676143588,0.0,0.979639334821085,0.11865711781906679,0.522604456033379,0.19952449486783294,0.7797543460323015,0.3209472746066581,0.33250754627347906,0.1552780507580722,0.3167690826382372,0.0,0.23009535561668915,0.6414782105151741,0.6314263433096131,0.22602624955241,0.1345503777458355,1.0,0.0,0.703297817370899,0.32384905191585445,0.26439824988392857,0.49874758900749816,0.864562834786187,0.06903823141796205,0.4367572364514756,0.3017948346512433,0.3005568772714578,0.002846059010956356,0.09217956489143712
San Martin,0.7335877038701769,0.5087276912837314,0.7708568421192812,0.1563292228976797,0.6520313521283236,0.4916636405368277,0.5131972098356655,0.5103916807164023,0.6511475354260499,0.49993910462927127,0.5476094792809212,0.23885937755728018,0.6228712977634258,0.6003844058763977,0.33817560929665214,0.9834558889027476,0.4898100957569571,0.2862795591059247,0.3705566497520556,0.5825544922803547,0.10637164776370917,0.2915784238668155,0.5866349496719878,0.5458804900666296,0.4104219822137506,0.6630444463647315,0.6317859087022216,0.9067626953017005,0.017715697025510464,0.24887573477039351,0.3121484427737289,0.22702099440194626,0.5794313850736004,0.0,0.5943896040391389,0.19859878072723697,0.43974287546263957,0.25719723620248347,0.4956008253772676,0.461170755074316,0.3468830277524491,0.5295534781976912,0.8564475324952456
Tacna,0.604557661907825,0.3511574641753479,0.5929455023853208,0.6157210913665365,0.0,0.6357049281191732,0.45005842823669734,0.20839116296894986,0.18143793508253286,0.011978984751864808,0.36651036563533584,0.0,0.3328045993723664,0.5686112542518493,0.5222707835189703,0.7822943112205092,0.7402289037014586,0.22868265171137997,0.5840491178337821,0.5048430556683936,0.012911986625846908,0.45865236278511223,0.21201364527218214,0.005457991005558351,0.20237326475664308,0.4079954683496384,0.30639102099411747,0.6230052821058605,0.31396415888479945,0.1200590031972579,0.5342004161629751,0.33281952317136276,0.5176485400787209,0.8172992646836825,0.22848147628741683,0.5926881687294749,0.33827838847755254,0.09740121962066738,0.21025213034235846,0.7433505951427528,0.32623490270614,0.08239971847907358,0.2782258041921545
Tumbes,0.6335092498635967,0.5493240559871713,0.8017502701286321,0.6383796797402643,0.7161945242663781,0.6553585671544568,0.8151227293381522,0.6421778176153998,0.6689557813481727,0.5765410375255479,0.5130703026685247,0.16556837218106912,0.5984212356496147,0.5202032064740003,0.8774886227020869,0.9125007168417393,0.41976709271758267,0.09747015820872777,0.5304836938769867,0.43005133845826227,0.48492846539971474,0.46288944506019286,0.0,0.14452132378829172,0.18464716534597148,0.13676708900947984,0.17543777524435658,0.5061624116382185,0.3630667581467592,0.3535692470385026,0.48695153588483187,0.17144929542346188,0.33041890399002866,0.8942981934389196,0.29516351710164496,0.6598269149658356,0.41194752994559003,0.1533529419898976,0.733421369636675,0.5763796696133558,0.5713427486585091,0.782186437275608,0.9966361817704686
Ucayali,0.5330054964599997,0.8731006891536489,0.5997227681700634,0.2815442980124518,0.7446340597341415,0.07877343974599395,0.7105283401020674,0.44583946702715593,0.128102559999965,0.02564648801800424,0.5731861975708055,0.31528804060753396,0.4597727569417046,0.5463165554211425,0.5513664906784541,0.9146404494104396,0.45850603056856454,0.2400966746421224,0.5940628601927146,0.4319084652984818,0.5234736791880413,0.4188510080289093,0.139305196968228,0.06423616629019913,0.5917230774446164,0.2092852483708618,0.41573084039603503,0.7539832683213099,0.5890928034666096,0.07112656156160317,0.1795445144645518,0.09318372160586069,0.2677070420338613,0.6258943366271194,0.36599157203511906,0.5354194341232401,0.3415574488211742,0.5770094931574417,0.6679307876875566,0.13692911452508588,0.690244318389456,0.19993913378657796,0.8924095109281933
