iter	Logloss
0	0.6773967451
1	0.6629006442
2	0.6503264283
3	0.6393775518
4	0.6293103311
5	0.6208020203
6	0.6132133387
7	0.6069889354
8	0.6006466908
9	0.5950126516
10	0.5901500462
11	0.5857375583
12	0.5814707293
13	0.5775926788
14	0.5739927551
15	0.5709538918
16	0.5682383638
17	0.5657575845
18	0.5633924357
19	0.560845911
20	0.5588959243
21	0.5567367015
22	0.5548147731
23	0.5530541839
24	0.5516167904
25	0.5501928615
26	0.5489321546
27	0.5476324068
28	0.5465837476
29	0.5454723976
30	0.544342344
31	0.5435002373
32	0.5426123377
33	0.5417615269
34	0.5409175054
35	0.5402829833
36	0.5397204899
37	0.5388633132
38	0.5381642673
39	0.5375308879
40	0.537064435
41	0.5364242989
42	0.5359941466
43	0.5354647925
44	0.5349645103
45	0.5345413748
46	0.5340239499
47	0.5335621514
48	0.5330822302
49	0.5326034532
50	0.5321766877
51	0.5318460693
52	0.5313710715
53	0.5309862433
54	0.5306040505
55	0.5302497413
56	0.5299730969
57	0.529640698
58	0.5293584674
59	0.5290804139
60	0.5288176316
61	0.5285837399
62	0.5282627244
63	0.5280476406
64	0.5276991731
65	0.5273364526
66	0.5271522951
67	0.5269232104
68	0.5266440453
69	0.5264309523
70	0.5261560746
71	0.5258219537
72	0.5256351859
73	0.5254134165
74	0.5251672776
75	0.524974243
76	0.5247411405
77	0.5245778442
78	0.5243861397
79	0.5241826553
80	0.5239965924
81	0.5237371567
82	0.5235719477
83	0.5234421516
84	0.5232393816
85	0.5229908968
86	0.5228540513
87	0.5225652299
88	0.5224179447
89	0.5222443968
90	0.5221389013
91	0.5220230825
92	0.5218383014
93	0.5216332418
94	0.5215164793
95	0.5214018848
96	0.5212851648
97	0.5212414044
98	0.5210924802
99	0.5209296443
100	0.5207691827
101	0.5206271094
102	0.5204955056
103	0.5203115463
104	0.520100029
105	0.5200478997
106	0.5199120791
107	0.5198276909
108	0.5196698964
109	0.5195800457
110	0.5194558727
111	0.519316389
112	0.5191869612
113	0.519116103
114	0.5190203774
115	0.5188609723
116	0.5187204422
117	0.5186638977
118	0.5186057315
119	0.5185389382
120	0.5184188869
121	0.5182993132
122	0.5181990981
123	0.5180710847
124	0.518005163
125	0.5178768864
126	0.5178147729
127	0.5176928261
128	0.5175376838
129	0.5174571881
130	0.5173380678
131	0.5171976827
132	0.5171245952
133	0.5170517078
134	0.5169220391
135	0.5167811416
136	0.5166406556
137	0.5165804835
138	0.5164327173
139	0.5163113127
140	0.5162107868
141	0.5161252451
142	0.5160373657
143	0.5159376092
144	0.5158755522
145	0.5157822655
146	0.5156863149
147	0.5155849035
148	0.515537275
149	0.5154150504
150	0.515327698
151	0.515241468
152	0.5151306882
153	0.5150044198
154	0.5149677058
155	0.5148376563
156	0.5147500206
157	0.5145812058
158	0.5144640966
159	0.5143607643
160	0.514292231
161	0.5142249936
162	0.5140977369
163	0.5140315203
164	0.5139430624
165	0.5138360072
166	0.513657361
167	0.5135484534
168	0.5134808193
169	0.5133551785
170	0.5132737724
171	0.513186235
172	0.5130886553
173	0.513007548
174	0.512913832
175	0.5127896035
176	0.5126739022
177	0.5125573991
178	0.5124100178
179	0.5122813638
180	0.5122005914
181	0.5120679661
182	0.5119067449
183	0.5118334488
184	0.5116941086
185	0.5115975227
186	0.5114734149
187	0.5113986634
188	0.5112664053
189	0.5111753301
190	0.5110197116
191	0.5108847271
192	0.5107786632
193	0.5106799688
194	0.5105840131
195	0.5104480097
196	0.5103065928
197	0.510203146
198	0.5100947859
199	0.5099356901
200	0.5097940205
201	0.5096619857
202	0.5096240107
203	0.5095120486
204	0.509392231
205	0.5093316671
206	0.5092365545
207	0.5091136385
208	0.5090078114
209	0.5089238218
210	0.5088012532
211	0.508740251
212	0.5086573658
213	0.5085432842
214	0.5084861478
215	0.5083991405
216	0.5083048003
217	0.5082070859
218	0.5081577782
219	0.5080664232
220	0.5079820236
221	0.5078723602
222	0.507807179
223	0.5077542327
224	0.5076299524
225	0.5076262681
226	0.5075342294
227	0.5073913629
228	0.5073533495
229	0.5072260195
230	0.5071236775
231	0.5070299769
232	0.5069371147
233	0.5068471378
234	0.5068112489
235	0.5067027924
236	0.5065921567
237	0.5065622245
238	0.5065203771
239	0.5064704803
240	0.506461723
241	0.5063768662
242	0.5063076555
243	0.5062595934
244	0.5062384801
245	0.50609482
246	0.5060742331
247	0.5059438436
248	0.5059012675
249	0.5057811007
250	0.5057801758
251	0.5057675884
252	0.5056462284
253	0.5055710262
254	0.5054809053
255	0.5054080636
256	0.5053329623
257	0.5052720801
258	0.5051338697
259	0.5050656311
260	0.5049649661
261	0.5048642797
262	0.5048020901
263	0.5047118674
264	0.5046925909
265	0.5045920807
266	0.504482257
267	0.5044017715
268	0.5043494073
269	0.5042987087
270	0.5041935716
271	0.50408018
272	0.5040059017
273	0.5039203014
274	0.5038261908
275	0.5037381381
276	0.5036382033
277	0.5035053508
278	0.5034589966
279	0.5033651469
280	0.5032568919
281	0.5031839654
282	0.5030755649
283	0.5030743743
284	0.5030668939
285	0.5030330024
286	0.5030145378
287	0.5029913024
288	0.5029302596
289	0.5028563072
290	0.5027426015
291	0.5026756311
292	0.5026365416
293	0.502522035
294	0.5024709811
295	0.5024114361
296	0.5022878395
297	0.5022299949
298	0.5021304539
299	0.5020223947
300	0.5019497593
301	0.5018557988
302	0.5018267771
303	0.501753982
304	0.5016400548
305	0.5015354354
306	0.5014223607
307	0.5013792061
308	0.5013537504
309	0.5013480173
310	0.5012876002
311	0.501286371
312	0.5011687282
313	0.5011215094
314	0.5010164171
315	0.5009827327
316	0.5008738238
317	0.5008393575
318	0.5007408574
319	0.500719214
320	0.5006106729
321	0.5005877509
322	0.500526575
323	0.5004853552
324	0.5004171271
325	0.5004140682
326	0.5003114902
327	0.5002194038
328	0.5001513342
329	0.5000884823
330	0.4999635829
331	0.4998950488
332	0.499781763
333	0.4997131475
334	0.4997053168
335	0.4996943642
336	0.4996026025
337	0.4995902767
338	0.4995864062
339	0.4994775483
340	0.4993841987
341	0.4992927934
342	0.4992872387
343	0.4992085956
344	0.4991558503
345	0.4990824732
346	0.4989783575
347	0.4989077832
348	0.498847312
349	0.4987846562
350	0.4987817321
351	0.4986939716
352	0.4985754979
353	0.4984619845
354	0.4983805335
355	0.498303683
356	0.4982218199
357	0.4981964237
358	0.4981942269
359	0.4981240444
360	0.4980778548
361	0.4980300119
362	0.4979853064
363	0.4979121398
364	0.497907648
365	0.4978748998
366	0.4978256835
367	0.4977753028
368	0.4977173585
369	0.4976885499
370	0.4976237764
371	0.4975367996
372	0.4975347471
373	0.4975074984
374	0.4974400493
375	0.4973410066
376	0.4973327649
377	0.497219922
378	0.4971756065
379	0.4971206914
380	0.4970601432
381	0.4969935375
382	0.4969911277
383	0.4969678178
384	0.4969196454
385	0.4969110584
386	0.4968215067
387	0.4967108172
388	0.4966823731
389	0.4966299687
390	0.4965955497
391	0.4965285044
392	0.4964313907
393	0.4964061929
394	0.4963432955
395	0.4963166659
396	0.496209739
397	0.496195996
398	0.496142265
399	0.4960962538
400	0.4960015897
401	0.4958986189
402	0.4957871125
403	0.4957211017
404	0.4956758027
405	0.4956714244
406	0.4956402455
407	0.4956012364
408	0.4955632343
409	0.4955614053
410	0.4955146273
411	0.4955129289
412	0.4954912546
413	0.4953979036
414	0.4953425425
415	0.4952496857
416	0.4951550489
417	0.4950547038
418	0.4949884299
419	0.4949464678
420	0.4948944775
421	0.4948141139
422	0.4947322952
423	0.4947294309
424	0.4946705401
425	0.4945979425
426	0.4945479185
427	0.4944747908
428	0.4944691492
429	0.4943702642
430	0.4943367039
431	0.4942493522
432	0.4941894903
433	0.4941074725
434	0.494023418
435	0.4939442025
436	0.4938595746
437	0.4937992634
438	0.49372911
439	0.4936386652
440	0.4935500697
441	0.493452808
442	0.4933592422
443	0.4932670886
444	0.4932268926
445	0.4931683514
446	0.4931309908
447	0.4931088964
448	0.4930601742
449	0.4930584692
450	0.4930287223
451	0.4930158935
452	0.4930142579
453	0.4929901698
454	0.4929441556
455	0.4929159106
456	0.4929130339
457	0.4929004617
458	0.4928614203
459	0.4928453165
460	0.4928029562
461	0.4927186961
462	0.4927098651
463	0.4926689847
464	0.4926256133
465	0.4925780532
466	0.4925234149
467	0.492427716
468	0.4923951528
469	0.4923617983
470	0.4923239628
471	0.4923203208
472	0.4922200024
473	0.4922120025
474	0.4921608372
475	0.4921097456
476	0.4920053264
477	0.4919277337
478	0.4919258743
479	0.4918700049
480	0.4917830389
481	0.4917615918
482	0.4916811159
483	0.4916282544
484	0.4915685421
485	0.4914768046
486	0.4914708021
487	0.4914295034
488	0.491407186
489	0.491343967
490	0.4913096567
491	0.4912645227
492	0.4912587673
493	0.4912125735
494	0.4911022409
495	0.4910577189
496	0.4910452339
497	0.4909913237
498	0.4909213492
499	0.4908380491
500	0.4907917307
501	0.4907322568
502	0.4907280156
503	0.4906417629
504	0.4905997048
505	0.4905824347
506	0.4905800427
507	0.4904833875
508	0.4904495116
509	0.4904294684
510	0.4904205197
511	0.4904061646
512	0.4904039281
513	0.4903238944
514	0.4902941414
515	0.4902115059
516	0.4901811148
517	0.4901770122
518	0.4901542839
519	0.4900937816
520	0.4900167568
521	0.4899887662
522	0.489985774
523	0.4899274623
524	0.4898806311
525	0.4898630322
526	0.4898213573
527	0.4897398006
528	0.4897158557
529	0.4896571361
530	0.4896079357
531	0.4895568727
532	0.4894886065
533	0.4894796965
534	0.4893937763
535	0.4893581958
536	0.4893176725
537	0.4892229454
538	0.4891481988
539	0.4890930534
540	0.4890069275
541	0.4889469503
542	0.4889033375
543	0.4889032898
544	0.4888375775
545	0.4888085487
546	0.4887361461
547	0.4887182757
548	0.4886588392
549	0.4885903852
550	0.4885669296
551	0.4885062347
552	0.4884952279
553	0.4884452386
554	0.4883987967
555	0.4883366846
556	0.4882924042
557	0.4882574931
558	0.4881858066
559	0.4880837159
560	0.4880331602
561	0.4879900538
562	0.487917328
563	0.4878801758
564	0.4878470608
565	0.4878285354
566	0.4878131164
567	0.4877325361
568	0.4876844357
569	0.4875841565
570	0.4875763901
571	0.4875355692
572	0.4875061424
573	0.4874910084
574	0.4874476754
575	0.4873721753
576	0.4873296566
577	0.4872345973
578	0.4872024238
579	0.4872005597
580	0.487121724
581	0.4871017044
582	0.4870428427
583	0.4870067765
584	0.4869525769
585	0.4869115836
586	0.4868515851
587	0.4868095705
588	0.4867154189
589	0.4866726402
590	0.4865762804
591	0.4865114427
592	0.4864371651
593	0.4864095491
594	0.4863759326
595	0.4863245537
596	0.4862625648
597	0.4862372076
598	0.4861912058
599	0.4861131898
600	0.4860875346
601	0.4860210081
