iter	Logloss
0	0.6355920476
1	0.5903426236
2	0.5560031626
3	0.5288950006
4	0.50671891
5	0.4882405561
6	0.4736108641
7	0.461947352
8	0.4523396322
9	0.4442367744
10	0.4380172482
11	0.4327980068
12	0.4283173685
13	0.4242032435
14	0.4209456676
15	0.4182792565
16	0.41593777
17	0.4139777638
18	0.4123691633
19	0.4108540739
20	0.4095768975
21	0.4085603641
22	0.4074904844
23	0.4067162209
24	0.4060105965
25	0.4052751138
26	0.404556497
27	0.4038607467
28	0.4033091715
29	0.4027882078
30	0.4023039006
31	0.4019336599
32	0.401407016
33	0.4009641428
34	0.4006426781
35	0.400300002
36	0.4000007794
37	0.3997291461
38	0.3994631844
39	0.3992453545
40	0.3989881895
41	0.3988218581
42	0.3985512192
43	0.3982972701
44	0.3981260005
45	0.3979275821
46	0.3977167563
47	0.3976032723
48	0.3973824473
49	0.3972441084
50	0.3970246736
51	0.3968872439
52	0.3967655058
53	0.3966405834
54	0.3965363186
55	0.3963751063
56	0.3962312647
57	0.3960957575
58	0.3959138951
59	0.3957402315
60	0.3956430837
61	0.3955089787
62	0.3954117631
63	0.395340775
64	0.3952181989
65	0.3951377782
66	0.3950633751
67	0.3949989008
68	0.3948674421
69	0.3947233731
70	0.3946362845
71	0.3945041775
72	0.3944192237
73	0.3943033394
74	0.3941808666
75	0.3940709436
76	0.3939585503
77	0.3938440764
78	0.3937508769
79	0.3936829947
80	0.3935921265
81	0.3935309002
82	0.3934700532
83	0.3933859484
84	0.3933258653
85	0.3932498451
86	0.3931887005
87	0.3931097628
88	0.3930323481
89	0.392976961
90	0.3928863985
91	0.3928278937
92	0.3927676729
93	0.3926554171
94	0.3926084369
95	0.3925356588
96	0.3924426862
97	0.3923581334
98	0.3922629129
99	0.3921674691
100	0.3920618351
101	0.3920012498
102	0.3918903576
103	0.3918575084
104	0.39178763
105	0.3917044294
106	0.3916211354
107	0.3915565861
108	0.3914920838
109	0.3914479531
110	0.391358572
111	0.391318362
112	0.3912716418
113	0.3911388338
114	0.3911021524
115	0.3910130251
116	0.3909267664
117	0.3908733111
118	0.3908120165
119	0.3907689436
120	0.3906906354
121	0.3906249722
